type_s,session,phase,trial,block,choice_stage1,reaction_time_stage1,transition,second_state,choice_stage2,reaction_time_stage2,reward,prob1_1,prob1_2,prob2_1,prob2_2
A,1,experiment,1,1,1,0.45889619999798015,rare,pink,1,0.4867473000049358,True,0.733128161751665,0.262913238140754,0.661060036392882,0.696297385846265
A,1,experiment,2,1,2,0.26287890000094194,common,pink,1,0.4973357999988366,True,0.737155014147073,0.268055746069109,0.651690222447341,0.716065503952148
A,1,experiment,3,1,2,0.3013540000101784,common,pink,1,0.58259309999994,False,0.72542984387916,0.253960738759241,0.625769430405975,0.75
A,1,experiment,4,1,2,0.3326949999900535,rare,blue,1,0.460991500003729,False,0.705313456114266,0.25,0.606009972479463,0.715130538016096
A,1,experiment,5,1,1,0.46270869999716524,common,blue,2,0.44127139999181964,True,0.669421471758341,0.266625589459574,0.579466162648337,0.733291816968798
A,1,experiment,6,1,2,0.381339300001855,rare,blue,2,0.4953796999907354,False,0.667780923373626,0.277897151282201,0.569761658977633,0.703466087662831
A,1,experiment,7,1,2,0.48520949999510776,common,pink,2,0.6054154000012204,True,0.654267006044045,0.293447395204761,0.580299398730037,0.734154629371565
A,1,experiment,8,1,1,0.31271600000036415,rare,pink,2,0.5298028999968665,False,0.655147559718691,0.25,0.547743863019824,0.75
A,1,experiment,9,1,1,0.4341285999980755,common,blue,1,0.6857665999996243,False,0.627311033022173,0.259806767181528,0.569808308897374,0.741944158349231
A,1,experiment,10,1,1,0.39973010000539944,common,blue,2,0.7816559000057168,True,0.626994097802506,0.25,0.595333611229302,0.75
